metric,reported,independent,absolute_difference
Average Precision,0.9719490388580161,0.971949038858016,1.1102230246251565e-16
ROC-AUC,0.9930494406351498,0.9930494406351498,0.0
Accuracy,0.9496544916090819,0.9496544916090819,0.0
Balanced Accuracy,0.9563641284734752,0.9563641284734752,0.0
Precision,0.7758620689655172,0.7758620689655172,0.0
Recall,0.9662576687116564,0.9662576687116564,0.0
F1,0.860655737704918,0.860655737704918,0.0
Brier Score,0.024354960501739943,0.024354960501739943,0.0
Illustrative decision loss,146.0,146.0,0.0
Frozen threshold,0.271024392128117,0.271024392128117,0.0
TP,315.0,315.0,0.0
FP,91.0,91.0,0.0
FN,11.0,11.0,0.0
TN,1609.0,1609.0,0.0
