,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,average_ticket,contact_ratio
Customer_Age,1.0,-0.1315494330566559,0.7889067831597049,-0.010689571150954615,0.04786391674576653,-0.033145969667968574,-0.007599280779357957,0.02803953270253907,-0.010115998105075219,-0.043858450220716494,-0.052902769179967356,-0.06795943276394943,0.006410665752085488,0.021573273157270634,-0.03993928797683697,-0.012357792344937817
Dependent_count,-0.1315494330566559,1.0,-0.10799991445539497,-0.02949701129671197,-0.00949905390769584,-0.04242722631802132,0.0799611008688289,-0.013352665295247992,0.08107979903230361,-0.04142503252948698,0.037577001291252944,0.07228252649710873,0.01320737327902679,-0.045379661193267314,0.026287766269488255,0.007155465206730274
Months_on_book,0.7889067831597049,-0.10799991445539497,1.0,-0.005709377094870386,0.0604914036698697,-0.029563244376214173,0.0013799712059177408,0.01794175068306721,-0.00023693322078785048,-0.026768920849317694,-0.035049590911071196,-0.04371536181880243,0.010683150957538013,0.002443664968113118,-0.029680834242341147,-0.018017834938781653
Total_Relationship_Count,-0.010689571150954615,-0.02949701129671197,-0.005709377094870386,1.0,0.003817349268389498,0.03857802212936396,-0.06475574944393901,0.009336321021556149,-0.06552870976272579,0.049429836608952726,-0.33419711524123363,-0.23255419026398677,0.039667957519362945,0.05531492761279956,-0.33240799754070305,-0.6583510624916468
Months_Inactive_12_mon,0.04786391674576653,-0.00949905390769584,0.0604914036698697,0.003817349268389498,1.0,0.024080703313044655,-0.02958026838942079,-0.04969440479161128,-0.025074906270812918,-0.01554869092690614,-0.026382149881561272,-0.033363292786068297,-0.028549340860561396,-0.002064460846471198,-0.011418444024364356,0.0021416041770186164
Contacts_Count_12_mon,-0.033145969667968574,-0.04242722631802132,-0.029563244376214173,0.03857802212936396,0.024080703313044655,1.0,0.019777728555235685,-0.0581688104942605,0.02499453672231649,-0.01923543067492943,-0.10913559048145045,-0.14885201905986964,-0.10057602330648877,-0.059949027143250025,-0.07384510152045898,0.4982241826712869
Credit_Limit,-0.007599280779357957,0.0799611008688289,0.0013799712059177408,-0.06475574944393901,-0.02958026838942079,0.019777728555235685,1.0,0.03345367423585049,0.9959427703512895,0.020563465032134912,0.16985031922554428,0.07208143694804589,0.0015702194593357334,-0.4856549090447342,0.17303890253428333,0.05971093179690903
Total_Revolving_Bal,0.02803953270253907,-0.013352665295247992,0.01794175068306721,0.009336321021556149,-0.04969440479161128,-0.0581688104942605,0.03345367423585049,1.0,-0.05662056357393092,0.061770834361398144,0.06618740812881985,0.0575412532448867,0.09310358270714174,0.6287443227370081,0.03730963920367393,-0.04436455062731559
Avg_Open_To_Buy,-0.010115998105075219,0.08107979903230361,-0.00023693322078785048,-0.06552870976272579,-0.025074906270812918,0.02499453672231649,0.9959427703512895,-0.05662056357393092,1.0,0.014980173266250176,0.16371334489703612,0.06682513294114092,-0.006814400721870296,-0.5417590418920243,0.1694987292679524,0.06364308080806474
Total_Amt_Chng_Q4_Q1,-0.043858450220716494,-0.04142503252948698,-0.026768920849317694,0.049429836608952726,-0.01554869092690614,-0.01923543067492943,0.020563465032134912,0.061770834361398144,0.014980173266250176,1.0,0.0273008966150295,-0.0027136643926444206,0.38394569850994775,0.031270310479869556,0.06961327239155644,-0.05909395568312119
Total_Trans_Amt,-0.052902769179967356,0.037577001291252944,-0.035049590911071196,-0.33419711524123363,-0.026382149881561272,-0.10913559048145045,0.16985031922554428,0.06618740812881985,0.16371334489703612,0.0273008966150295,1.0,0.802610519128655,0.08014457791807471,-0.07121569160155121,0.9059817205879774,0.19745341524194426
Total_Trans_Ct,-0.06795943276394943,0.07228252649710873,-0.04371536181880243,-0.23255419026398677,-0.033363292786068297,-0.14885201905986964,0.07208143694804589,0.0575412532448867,0.06682513294114092,-0.0027136643926444206,0.802610519128655,1.0,0.10317907029512383,0.012488465033997666,0.5349760229067461,0.09192741511937044
Total_Ct_Chng_Q4_Q1,0.006410665752085488,0.01320737327902679,0.010683150957538013,0.039667957519362945,-0.028549340860561396,-0.10057602330648877,0.0015702194593357334,0.09310358270714174,-0.006814400721870296,0.38394569850994775,0.08014457791807471,0.10317907029512383,1.0,0.07534527938755886,0.07906023314081484,-0.08553805425768408
Avg_Utilization_Ratio,0.021573273157270634,-0.045379661193267314,0.002443664968113118,0.05531492761279956,-0.002064460846471198,-0.059949027143250025,-0.4856549090447342,0.6287443227370081,-0.5417590418920243,0.031270310479869556,-0.07121569160155121,0.012488465033997666,0.07534527938755886,1.0,-0.09640837588268408,-0.0806324143497116
average_ticket,-0.03993928797683697,0.026287766269488255,-0.029680834242341147,-0.33240799754070305,-0.011418444024364356,-0.07384510152045898,0.17303890253428333,0.03730963920367393,0.1694987292679524,0.06961327239155644,0.9059817205879774,0.5349760229067461,0.07906023314081484,-0.09640837588268408,1.0,0.22419267907184443
contact_ratio,-0.012357792344937817,0.007155465206730274,-0.018017834938781653,-0.6583510624916468,0.0021416041770186164,0.4982241826712869,0.05971093179690903,-0.04436455062731559,0.06364308080806474,-0.05909395568312119,0.19745341524194426,0.09192741511937044,-0.08553805425768408,-0.0806324143497116,0.22419267907184443,1.0
