,SHAP
Customer_Age,0.002377711060816868
Dependent_count,0.0010415153640815453
Months_on_book,0.0015785929254645956
Total_Relationship_Count,0.031973421328754734
Months_Inactive_12_mon,0.01304002723602903
Contacts_Count_12_mon,0.005942732936440921
Credit_Limit,-0.007322777642354159
Total_Revolving_Bal,0.05509070742654629
Avg_Open_To_Buy,-0.007298851226214116
Total_Amt_Chng_Q4_Q1,-0.004226743059909718
Total_Trans_Amt,0.1165320669270893
Total_Trans_Ct,0.15915829002930817
Total_Ct_Chng_Q4_Q1,0.06083618247730376
Avg_Utilization_Ratio,0.03389240450619135
average_ticket,-0.006048532771569507
contact_ratio,0.03420823467167889
Gender,0.010127258988153198
Education_Level,-0.004213153407011558
Marital_Status,0.001463896844198724
Income_Category,0.0006171524331590743
Card_Category,-6.662987364573655e-05
