transformed_feature,SHAP_contribution
numeric__Customer_Age,0.002377711060816868
numeric__Dependent_count,0.0010415153640815453
numeric__Months_on_book,0.0015785929254645956
numeric__Total_Relationship_Count,0.031973421328754734
numeric__Months_Inactive_12_mon,0.01304002723602903
numeric__Contacts_Count_12_mon,0.005942732936440921
numeric__Credit_Limit,-0.007322777642354159
numeric__Total_Revolving_Bal,0.05509070742654629
numeric__Avg_Open_To_Buy,-0.007298851226214116
numeric__Total_Amt_Chng_Q4_Q1,-0.004226743059909718
numeric__Total_Trans_Amt,0.1165320669270893
numeric__Total_Trans_Ct,0.15915829002930817
numeric__Total_Ct_Chng_Q4_Q1,0.06083618247730376
numeric__Avg_Utilization_Ratio,0.03389240450619135
numeric__average_ticket,-0.006048532771569507
numeric__contact_ratio,0.03420823467167889
categorical__Gender_F,0.004858692141104166
categorical__Gender_M,0.005268566847049031
categorical__Education_Level_College,5.0611507428903455e-05
categorical__Education_Level_Doctorate,5.127260748142021e-05
categorical__Education_Level_Graduate,6.422717125994716e-05
categorical__Education_Level_High School,-0.004108445936388282
categorical__Education_Level_Post-Graduate,-4.803878511425601e-05
categorical__Education_Level_Uneducated,-5.372622668554395e-06
categorical__Education_Level_Unknown,-0.00021740734901073638
categorical__Marital_Status_Divorced,-4.1325816399251284e-05
categorical__Marital_Status_Married,0.0014537659448695048
categorical__Marital_Status_Single,0.00026964407292339544
categorical__Marital_Status_Unknown,-0.00021818735719492485
categorical__Income_Category_$120K +,-2.4307441913177905e-05
categorical__Income_Category_$40K - $60K,-7.375886211316716e-05
categorical__Income_Category_$60K - $80K,0.00045719925286886857
categorical__Income_Category_$80K - $120K,-9.800956979362153e-06
categorical__Income_Category_Less than $40K,0.00040026630407781174
categorical__Income_Category_Unknown,-0.00013244586278189874
categorical__Card_Category_Blue,-0.00012860301268810887
categorical__Card_Category_Gold,-4.400311503601285e-05
categorical__Card_Category_Platinum,-2.1521290318075345e-05
categorical__Card_Category_Silver,0.00012749754439646052
