,missing_cells,unique_nonmissing,unknown_category_cells,infinite_cells
CLIENTNUM,0,10127,0,0
Attrition_Flag,0,2,0,0
Customer_Age,0,45,0,0
Gender,0,2,0,0
Dependent_count,0,6,0,0
Education_Level,0,7,1519,0
Marital_Status,0,4,749,0
Income_Category,0,6,1112,0
Card_Category,0,4,0,0
Months_on_book,0,44,0,0
Total_Relationship_Count,0,6,0,0
Months_Inactive_12_mon,0,7,0,0
Contacts_Count_12_mon,0,7,0,0
Credit_Limit,0,6205,0,0
Total_Revolving_Bal,0,1974,0,0
Avg_Open_To_Buy,0,6813,0,0
Total_Amt_Chng_Q4_Q1,0,1158,0,0
Total_Trans_Amt,0,5033,0,0
Total_Trans_Ct,0,126,0,0
Total_Ct_Chng_Q4_Q1,0,830,0,0
Avg_Utilization_Ratio,0,964,0,0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,0,1704,0,0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,0,640,0,0
