metric,value,ci_95_low,ci_95_high
Average Precision,0.9719490388580161,0.9595764905354126,0.981384324166074
ROC-AUC,0.9930494406351498,0.9896937609211807,0.9957278277635775
Accuracy,0.9496544916090819,,
Balanced Accuracy,0.9563641284734752,,
Precision,0.7758620689655172,0.7403208481225481,0.8125947820803321
Recall,0.9662576687116564,0.945563415059261,0.9852994610307031
F1,0.860655737704918,,
Brier Score,0.024354960501739943,,
Illustrative decision loss,146.0,,
Frozen threshold,0.271024392128117,,
TP,315.0,,
FP,91.0,,
FN,11.0,,
TN,1609.0,,
