transformed_feature,source_feature,mean_absolute_shap
numeric__Total_Trans_Ct,Total_Trans_Ct,0.14711750180466224
numeric__Total_Trans_Amt,Total_Trans_Amt,0.09132294347338166
numeric__Total_Revolving_Bal,Total_Revolving_Bal,0.0620687362549193
numeric__Total_Ct_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,0.047644574150822995
numeric__average_ticket,average_ticket,0.043360078695609615
numeric__Avg_Utilization_Ratio,Avg_Utilization_Ratio,0.03995907916933295
numeric__Total_Relationship_Count,Total_Relationship_Count,0.030996274784011627
numeric__contact_ratio,contact_ratio,0.029243332132046964
numeric__Total_Amt_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,0.019938466322960792
numeric__Months_Inactive_12_mon,Months_Inactive_12_mon,0.018476917904691855
numeric__Avg_Open_To_Buy,Avg_Open_To_Buy,0.012737868699802974
numeric__Credit_Limit,Credit_Limit,0.010833812087555477
numeric__Contacts_Count_12_mon,Contacts_Count_12_mon,0.009865310374080559
numeric__Customer_Age,Customer_Age,0.007698987502652101
categorical__Gender_F,Gender,0.006369290397741272
categorical__Gender_M,Gender,0.005761679043672431
numeric__Months_on_book,Months_on_book,0.005266082852119805
categorical__Marital_Status_Married,Marital_Status,0.003743618920195628
numeric__Dependent_count,Dependent_count,0.0031515190536515764
categorical__Income_Category_Less than $40K,Income_Category,0.0019868872363504046
categorical__Marital_Status_Single,Marital_Status,0.0017357585984146163
categorical__Education_Level_Graduate,Education_Level,0.0012244827740812367
categorical__Education_Level_Unknown,Education_Level,0.0009241927622334653
categorical__Income_Category_$40K - $60K,Income_Category,0.0009054061542418404
categorical__Education_Level_High School,Education_Level,0.0008451155194538069
categorical__Income_Category_$60K - $80K,Income_Category,0.0007820460918502206
categorical__Card_Category_Blue,Card_Category,0.000695549578425178
categorical__Marital_Status_Unknown,Marital_Status,0.0006625130931566585
categorical__Income_Category_$80K - $120K,Income_Category,0.0006618024908124623
categorical__Education_Level_Uneducated,Education_Level,0.0005865537072394151
categorical__Education_Level_Post-Graduate,Education_Level,0.000513292139067582
categorical__Income_Category_Unknown,Income_Category,0.0004624381149862106
categorical__Education_Level_College,Education_Level,0.0004535196114424284
categorical__Education_Level_Doctorate,Education_Level,0.00040303090088092045
categorical__Income_Category_$120K +,Income_Category,0.0003850605602217136
categorical__Card_Category_Silver,Card_Category,0.0003578630793134946
categorical__Marital_Status_Divorced,Marital_Status,0.0002529034003033165
categorical__Card_Category_Gold,Card_Category,0.0002063909926920868
categorical__Card_Category_Platinum,Card_Category,4.516527499011176e-05
