bin,n,mean_predicted,observed_churn,observed_minus_predicted
"(-0.000794, 0.000843]",203,0.0005744483152789585,0.0,-0.0005744483152789585
"(0.000843, 0.00132]",203,0.0010685844893481835,0.0,-0.0010685844893481835
"(0.00132, 0.00197]",202,0.0016177812897249211,0.0,-0.0016177812897249211
"(0.00197, 0.00321]",203,0.002518726434246745,0.0,-0.002518726434246745
"(0.00321, 0.00537]",202,0.004182904701293288,0.0,-0.004182904701293288
"(0.00537, 0.0108]",203,0.0075971195751357865,0.0049261083743842365,-0.00267101120075155
"(0.0108, 0.039]",202,0.020720467285336764,0.0,-0.020720467285336764
"(0.039, 0.274]",203,0.10742298969219032,0.04926108374384237,-0.05816190594834795
"(0.274, 0.968]",202,0.7016340004344074,0.5594059405940595,-0.14222805984034792
"(0.968, 0.999]",203,0.9889985685735679,0.9950738916256158,0.006075323052047832
