source_feature,mean_absolute_grouped_shap,explained_model,explained_class,output_scale,reference_method,source_sha256
Total_Trans_Ct,0.14711750180466218,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Total_Trans_Amt,0.09132294347338167,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Total_Revolving_Bal,0.06206873625491932,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Total_Ct_Chng_Q4_Q1,0.04764457415082296,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
average_ticket,0.04336007869560962,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Avg_Utilization_Ratio,0.039959079169332924,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Total_Relationship_Count,0.03099627478401162,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
contact_ratio,0.02924333213204698,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Total_Amt_Chng_Q4_Q1,0.019938466322960795,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Months_Inactive_12_mon,0.018476917904691855,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Avg_Open_To_Buy,0.01273786869980297,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Gender,0.012087778870698139,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Credit_Limit,0.010833812087555466,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Contacts_Count_12_mon,0.009865310374080559,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Customer_Age,0.007698987502652101,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Months_on_book,0.0052660828521198045,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Marital_Status,0.0051760876221819685,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Income_Category,0.0038505951947280805,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Education_Level,0.003821212345883518,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Dependent_count,0.0031515190536515764,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
Card_Category,0.0012176949678320117,Random Forest tuned,1,churn_probability,tree_path_dependent (tree path training counts),c91b525a2a6755a1b0b80dad1d0d008ca97ec4df34552c8f47ffa12b6184b779
